type,id,lat,lon,name
14,N349564358,44.0555127,-95.1961046,Jeffers Post Office
14,N349564372,43.9066239,-95.0463791,Bingham Post Office
14,N349564390,43.8650476,-95.1187236,Windom Post Office
14,N349564407,44.0416271,-95.4358351,Westbrook Post Office
14,N349564423,44.0388471,-95.3194416,Storden Post Office
14,N349564455,43.9863461,-95.0888797,Delft Post Office
14,N349564471,44.0751612,-93.3869915,Meriden Post Office
14,N349564488,44.1155224,-93.707171,Janesville Post Office
14,N349564504,43.8949604,-93.4935509,New Richland Post Office
14,N349564515,43.9352417,-93.6974466,Waldorf Post Office
14,N349564531,44.0781924,-93.505639,Waseco Post Office
14,N349564549,43.8882925,-94.1557925,Amboy Post Office
14,N349564563,44.0477414,-94.1644026,Garden City Post Office
14,N349564576,44.1633002,-93.8805086,Eagle Lake Post Office
14,N349564591,44.1055196,-94.2188494,Lake Crystal Post Office
14,N349564602,44.0046864,-94.0574549,Good Thunder Post Office
14,N349564664,43.9286265,-93.9549547,Mapleton Post Office
14,N349564673,44.2044116,-93.815508,Madison Lake Post Office
14,N349564684,44.1638553,-94.0046775,Mankato Post Office
14,N349564696,44.0813558,-93.855785,Saint Clair Post Office
14,N349564706,43.8730161,-93.3007657,Ellendale Post Office
14,N349564717,43.8645416,-93.0499331,Blooming Prairie Post Office
14,N349564730,44.1748847,-93.2460872,Medford Post Office
14,N349564741,43.9616285,-93.2765995,Hope Post Office
14,N349564753,43.9444073,-93.0971464,Bixby Post Office
14,N349564763,44.0844073,-93.2229884,Owatonna Post Office
14,N349564778,44.1516309,-92.8990876,West Concord Post Office
14,N349564791,44.0284163,-92.7472101,Kasson Post Office
14,N349564803,44.0278546,-92.8558185,Dodge Center Post Office
14,N349564818,43.8903388,-92.8481682,Hayfield Post Office
14,N349564830,44.0665306,-92.7563414,Mantorville Post Office
14,N349564848,44.0445663,-92.9988188,Claremont Post Office
14,N349564861,44.0085788,-93.7832826,Pemberton Post Office
14,N349564876,44.2085795,-96.3522619,Verdi Post Office
14,N349564891,44.2613568,-96.2869835,Lake Benton Post Office
14,N349564909,44.2796884,-96.1350328,Tyler Post Office
14,N349564921,44.3835765,-96.1836478,Arco Post Office
14,N349564938,44.4630205,-96.2486519,Ivanhoe Post Office
14,N349564967,44.0938521,-91.7507071,Minnesota City Post Office
14,N349564979,44.0977412,-91.8173762,Rollingstone Post Office
14,N349564994,43.9844072,-91.8590424,Lewiston Post Office
14,N349565012,43.9755184,-91.9548787,Utica Post Office
14,N349565054,44.0707966,-91.9393245,Altura Post Office
14,N349565077,44.0634764,-92.2679966,Viola Post Office
14,N349565101,43.9816301,-91.4845878,Pickwick Post Office
14,N349565121,44.0502408,-91.6384818,Winona Post Office
14,N349565140,43.9669284,-92.0645389,Saint Charles Post Office
14,N349565159,44.2925,-93.9647222,Kasota Post Office
14,N349565181,44.3133333,-93.5738889,Kilkenny Post Office
14,N349565201,44.2225,-94.8016667,Leavenworth Post Office
14,N349565225,44.1136111,-94.9077778,Comfrey Post Office
14,N349565322,44.1494444,-94.4947222,Hanska Post Office
14,N349565341,44.2390779,-94.9772532,Springfield Post Office
14,N349565361,44.2981396,-94.7225481,Sleepy Eye Post Office
14,N349565381,44.3134439,-94.4563249,New Ulm Post Office
14,N349565403,44.2286111,-94.4344444,Searles Post Office
14,N349565447,44.1984823,-93.6737573,Elysian Post Office
14,N349565470,44.4363889,-93.5797222,Montgomery Post Office
14,N349565556,44.39,-93.7305556,Le Center Post Office
14,N349565606,44.2197499,-93.5665441,Waterville Post Office
14,N349565634,44.3822222,-93.9455556,Ottawa Post Office
14,N349565652,44.325,-93.8383333,Cleveland Post Office
14,N349565701,43.9748072,-92.1372604,Dover Post Office
14,N349565717,43.9887901,-92.2315857,Eyota Post Office
14,N349565738,44.0313327,-92.6450878,Byron Post Office
14,N349565764,44.1643352,-92.5344577,Oronoco Post Office
14,N349565812,44.5936111,-96.0655556,Taunton Post Office
14,N349565833,44.4488889,-95.7888889,Marshall Post Office
14,N349565846,44.5611111,-95.9888889,Minneota Post Office
14,N349565864,44.3194444,-95.9511111,Russell Post Office
14,N349565889,44.2372222,-96.0516667,Florence Post Office
14,N349565912,44.3166667,-95.6966667,Amiret Post Office
14,N349565936,44.3658333,-94.4255556,Klossner Post Office
14,N349565957,44.3539798,-94.8413551,Evan Post Office
14,N349565981,44.3245142,-94.6045009,Essig Post Office
14,N349566002,44.2752276,-94.1871051,Nicollet Post Office
14,N349566023,44.4461111,-94.3902778,Lafayette Post Office
14,N349566040,44.2683333,-94.34,Courtland Post Office
14,N349566063,44.3246593,-93.9589759,Saint Peter Post Office
14,N349566085,44.4022387,-92.0785617,Reads Landing Post Office
14,N349566113,44.4099659,-95.4110703,Lucan Post Office
14,N349566139,44.2308333,-95.2630556,Lamberton Post Office
14,N349566164,44.4172222,-94.9263889,Morgan Post Office
14,N349566185,44.4177778,-95.5530556,Milroy Post Office
